id,mensaje,etiqueta
1,Gana dinero rápido haciendo clic aquí,spam
2,Reunión confirmada para mañana,ham
3,Oferta limitada compra ahora,spam
4,Adjunto envío los documentos solicitados,ham
5,Gratis gana millones sin esfuerzo,spam
6,La reunión de equipo será el viernes a las 3pm,ham
7,Click aquí para reclamar tu premio,spam
8,Gracias por tu correo te responderé pronto,ham
9,Has ganado un iPhone gratis envía tus datos,spam
10,El informe mensual está listo para revisión,ham
11,Urgente llama ya y gana un viaje gratis,spam
12,Confirmación de tu cita médica el próximo martes,ham
13,Dinero fácil trabajando desde casa,spam
14,Los resultados del proyecto fueron excelentes,ham
15,Sin costo gana premios increíbles ahora,spam
16,Te envío la presentación que solicitaste,ham
17,Millonario en 30 días garantizado,spam
18,La propuesta está lista para su aprobación,ham
19,Regístrate gratis y gana dinero instantáneo,spam
20,Recordatorio reunión del comité mañana,ham
21,Oferta exclusiva solo por tiempo limitado,spam
22,El presupuesto fue aprobado por la dirección,ham
23,Gana dinero fácil desde tu computadora,spam
24,Gracias por asistir a la capacitación,ham
25,Premio garantizado envía tu información,spam
26,Los documentos están listos para firma,ham
27,Millones de pesos esperando por ti,spam
28,Confirmación de tu reserva para el evento,ham
29,Click aquí para reclamar tu herencia,spam
30,El informe trimestral está disponible,ham
31,Gratis dinero rápido sin inversión,spam
32,Te agradezco por tu pronta respuesta,ham
33,Has sido seleccionado para ganar un auto,spam
34,La propuesta técnica fue aprobada,ham
35,Urgente reclamar tu premio antes del viernes,spam
36,Confirmación de entrega del pedido,ham
37,Dinero fácil y rápido en tu cuenta,spam
38,Los resultados de la evaluación fueron positivos,ham
39,Oferta especial solo hoy no la pierdas,spam
40,Gracias por tu colaboración en el proyecto,ham
41,Gana millones sin salir de casa,spam
42,Recordatorio pago de nómina el día 15,ham
43,Click aquí para ser millonario ahora,spam
44,El informe de ventas mensual está listo,ham
45,Premio sorpresa esperando por ti,spam
46,Confirmación de tu suscripción al servicio,ham
47,Gratis gana dinero desde tu teléfono,spam
48,Los documentos legales fueron revisados,ham
49,Millonario en una semana garantizado,spam
50,Te envío los archivos que solicitaste,ham
51,Oferta única no disponible en tiendas,spam
52,Recordatorio reunión de seguridad mañana,ham
53,Dinero rápido y seguro sin riesgo,spam
54,La evaluación de desempeño fue exitosa,ham
55,Has ganado un premio millonario,spam
56,Confirmación de asistencia al seminario,ham
57,Gratis millones de pesos para ti,spam
58,El presupuesto del proyecto fue actualizado,ham
59,Urgente reclamar premio antes de hoy,spam
60,Gracias por tu dedicación al trabajo,ham
61,Click aquí para ganar dinero infinito,spam
62,Los informes financieros están completos,ham
63,Oferta exclusiva solo para ti,spam
64,Recordatorio capacitación del personal,ham
65,Gana dinero mientras duermes,spam
66,El contrato fue firmado exitosamente,ham
67,Premio garantizado para nuevos miembros,spam
68,Confirmación de tu registro en el sistema,ham
69,Dinero fácil sin experiencia necesaria,spam
70,Los resultados del estudio fueron concluyentes,ham
71,Millones esperando solo por ti,spam
72,Gracias por tu participación activa,ham
73,Gratis gana dinero con un click,spam
74,El informe anual está disponible para consulta,ham
75,Urgente premio expira mañana,spam
76,Confirmación de tu solicitud de vacaciones,ham
77,Has sido elegido para ganar un millón,spam
78,La propuesta comercial fue aceptada,ham
79,Oferta especial por tiempo limitado,spam
80,Recordatorio junta directiva el viernes,ham
81,Dinero rápido sin salir de tu casa,spam
82,Los documentos fueron enviados correctamente,ham
83,Click para reclamar tu herencia millonaria,spam
84,El análisis de mercado está completo,ham
85,Gana millones trabajando dos horas,spam
86,Confirmación de tu membresía activa,ham
87,Premio sorpresa para clientes especiales,spam
88,Gracias por tu compromiso con la empresa,ham
89,Gratis dinero instantáneo en efectivo,spam
90,Los reportes mensuales fueron generados,ham
91,Millonario en días no meses,spam
92,Recordatorio evaluación de desempeño,ham
93,Oferta única no te la pierdas,spam
94,El presupuesto operativo fue aprobado,ham
95,Has ganado un premio de un millón,spam
96,Confirmación de tu inscripción al curso,ham
97,Dinero fácil garantizado sin esfuerzo,spam
98,Los resultados fueron positivos en todos los aspectos,ham
99,Urgente reclamar antes de medianoche,spam
100,Te agradezco por tu profesionalismo,ham
101,Click aquí para convertirte en millonario,spam
102,El informe de calidad está disponible,ham
103,Gratis millones solo por registrarte,spam
104,Recordatorio pago de servicios,ham
105,Gana dinero rápido sin conocimientos,spam
106,La reunión de seguimiento será el lunes,ham
107,Premio exclusivo para ti solo,spam
108,Confirmación de entrega de materiales,ham
109,Millones de pesos fáciles y rápidos,spam
110,Los documentos están listos para revisión,ham
111,Oferta especial no disponible mañana,spam
112,Gracias por tu excelente trabajo,ham
113,Dinero fácil desde cualquier lugar,spam
114,El análisis financiero fue completado,ham
115,Has sido seleccionado gana un auto,spam
116,Recordatorio reunión de planeación,ham
117,Gratis gana dinero en minutos,spam
118,El contrato de servicios fue renovado,ham
119,Urgente premio solo hoy disponible,spam
120,Confirmación de tu solicitud procesada,ham
121,Click para ganar dinero infinito ahora,spam
122,Los informes fueron enviados a tiempo,ham
123,Millonario sin experiencia ni capital,spam
124,La propuesta de mejoras fue bien recibida,ham
125,Oferta limitada exclusiva para clientes,spam
126,Recordatorio capacitación de seguridad,ham
127,Dinero rápido sin intermediarios,spam
128,El presupuesto de marketing fue aprobado,ham
129,Premio millonario esperando por ti,spam
130,Gracias por tu contribución al equipo,ham
131,Gana millones con un solo click,spam
132,Confirmación de tu participación en el evento,ham
133,Gratis dinero seguro y confiable,spam
134,Los resultados superaron las expectativas,ham
135,Has ganado un premio de millones,spam
136,El informe de ventas trimestral está listo,ham
137,Urgente reclamar antes que expire,spam
138,Recordatorio junta de trabajo mañana,ham
139,Millones fáciles trabajando desde casa,spam
140,La evaluación del proyecto fue exitosa,ham
141,Oferta especial solo esta semana,spam
142,Confirmación de tu registro exitoso,ham
143,Dinero rápido sin requisitos complicados,spam
144,Los documentos legales fueron actualizados,ham
145,Click aquí para ser millonario hoy,spam
146,El análisis de costos está completo,ham
147,Gratis gana dinero mientras trabajas,spam
148,Te envío la información solicitada,ham
149,Premio garantizado para nuevos usuarios,spam
150,Recordatorio pago de facturas pendientes,ham
151,Has sido elegido gana un millón de pesos,spam
152,La reunión de coordinación será el miércoles,ham
153,Millonario en poco tiempo garantizado,spam
154,Confirmación de tu alta en el sistema,ham
155,Oferta única no disponible después,spam
156,Los informes fueron revisados y aprobados,ham
157,Dinero fácil sin riesgo ni inversión,spam
158,Gracias por tu puntualidad en las entregas,ham
159,Gana dinero rápido con este método,spam
160,El presupuesto del departamento fue actualizado,ham
161,Urgente reclamar tu premio especial,spam
162,Recordatorio capacitación de nuevos empleados,ham
163,Gratis millones solo por hacer click,spam
164,La propuesta técnica fue aceptada completamente,ham
165,Premio sorpresa para clientes VIP,spam
166,Confirmación de tu asistencia confirmada,ham
167,Click para ganar dinero fácilmente,spam
168,El informe de auditoría está disponible,ham
169,Millones de pesos esperan por ti,spam
170,Los resultados fueron excelentes en todos los rubros,ham
171,Oferta exclusiva no te la pierdas,spam
172,Recordatorio reunión de seguimiento,ham
173,Dinero rápido sin necesidad de experiencia,spam
174,El contrato fue modificado según lo acordado,ham
175,Has ganado un premio millonario ahora,spam
176,Confirmación de tu solicitud aprobada,ham
177,Gana millones trabajando pocas horas,spam
178,Los documentos fueron firmados correctamente,ham
179,Gratis dinero instantáneo sin espera,spam
180,Te agradezco por tu trabajo excepcional,ham

